i,Name/Title,"Start Date","End Date","Percent Complete",Resources,Predecessors,Notes,URL,Comments,"Task Color"
1,Onitu,2013-05-01,2015-01-30,,,,,,,
1.1,Onitu,2013-05-01,2015-01-30,0,,,,,,
1.1.1,Client,2013-10-01,2015-01-30,0,,,,,,
1.1.1.1,"Modification des clients existants",2013-10-01,2014-06-30,0,,,,,,
1.1.1.1.1,"Modification de l'interface pour ajouter la possibiliter de configurer un serveur",2014-03-03,2014-05-30,0,,,,,,blue2
1.1.1.1.2,"Client minimal pour les tests",2013-10-01,2013-11-29,0,,,,,,blue2
1.1.1.1.3,"Suppression des adresses de serveur en dur dans le code",2014-05-01,2014-06-30,0,,,,,,blue2
1.1.1.2,WebUi,2014-01-01,2015-01-30,0,,,,,,
1.1.1.2.1,"Conception du backend",2014-01-01,2014-04-30,0,,,,,,blue2
1.1.1.2.2,"Gestion du compte",2014-08-01,2014-11-28,0,,,,,,blue2
1.1.1.2.3,Telechargement,2014-08-01,2014-10-30,0,,,,,,blue2
1.1.1.2.4,Visualisation,2015-01-01,2015-01-30,0,,,,,,blue2
1.1.1.2.5,"Interface d'ajouts de fichiers",2014-08-01,2014-10-31,0,,,,,,blue2
1.1.1.2.6,"Partage de fichiers",2014-09-01,2015-01-30,0,,,,,,
1.1.1.2.6.1,"Interface de gestion des droits",2014-09-01,2014-12-31,0,,,,,,blue2
1.1.1.2.6.2,"Interface de visualisation des fichiers publics",2014-12-01,2015-01-30,0,,,,,,blue2
1.1.1.2.6.3,"Fonctionnalitees de partage",2014-10-01,2014-11-28,0,,,,,,blue2
1.1.1.2.7,"Interface d'administration",2014-04-01,2014-06-30,0,,,,,,
1.1.1.2.7.1,"Creation et suppression de comptes",2014-05-01,2014-06-30,0,,,,,,blue2
1.1.1.2.7.2,"Gestion des fichiers",2014-04-01,2014-06-30,0,,,,,,blue2
1.1.1.2.7.3,"Configuration du serveur Onitu",2014-04-01,2014-05-30,0,,,,,,blue2
1.1.1.2.7.4,"Configuration des drivers",2014-04-01,2014-05-30,0,,,,,,blue2
1.1.1.2.8,Design,2014-07-01,2014-08-29,0,,,,,,
1.1.1.2.8.1,CSS,2014-07-01,2014-08-29,0,,,,,,blue2
1.1.1.2.8.2,HTML,2014-07-01,2014-08-29,0,,,,,,blue2
1.1.1.2.9,Logique,2014-02-03,2014-08-29,0,,,,,,
1.1.1.2.9.1,"Gestion des websockets",2014-05-01,2014-08-29,0,,,,,,blue2
1.1.1.2.9.2,"CRUD des fichiers",2014-04-01,2014-06-30,0,,,,,,blue2
1.1.1.2.9.3,"Gestion des drivers",2014-02-03,2014-04-29,0,,,,,,blue2
1.1.1.2.9.4,"Configuration de l'interface",2014-02-03,2014-03-31,0,,,,,,blue2
1.1.2,Serveur,2013-05-01,2014-04-30,0,,,,,,
1.1.2.1,"API interne",2013-05-01,2014-02-28,0,,,,,,
1.1.2.1.1,Conception,2013-05-01,2013-12-31,0,,,,,,blue2
1.1.2.1.2,Réalisation,2013-10-01,2014-02-28,0,,,,,,blue2
1.1.2.2,"API publique",2013-10-01,2014-02-28,0,,,,,,
1.1.2.2.1,"API Ubuntu One",2013-10-01,2014-02-28,0,,,,,,blue2
1.1.2.3,DB,2013-10-01,2014-04-30,0,,,,,,
1.1.2.3.1,Export,2014-03-03,2014-04-30,0,,,,,,blue2
1.1.2.3.2,Import,2014-03-03,2014-04-30,0,,,,,,blue2
1.1.2.3.3,"Definition des documents",2013-10-01,2013-11-29,0,,,,,,blue2
1.1.3,Configuration,2013-12-02,2014-03-31,0,,,,,,
1.1.3.1,"Configuration locale",2014-01-01,2014-03-31,0,,,,,,blue2
1.1.3.2,"Configuration backend",2013-12-02,2014-02-28,0,,,,,,blue2
1.1.4,Drivers,2013-05-01,2014-09-30,0,,,,,,
1.1.4.1,"Conception de l'API",2013-05-01,2013-11-29,0,,,,,,blue2
1.1.4.2,"Local storage",2013-10-01,2013-12-31,0,,,,,,blue2
1.1.4.3,"Ubuntu One",2013-10-01,2013-12-31,0,,,,,,blue2
1.1.4.4,Dropbox,2014-01-01,2014-04-30,0,,,,,,blue2
1.1.4.5,FTP,2014-03-03,2014-05-30,0,,,,,,blue2
1.1.4.6,Autres,2014-05-01,2014-09-30,0,,,,,,blue2
